Manchester City, https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
Liverpool, https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
Chelsea, https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
Tottenham, https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
Arsenal, https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
Manchester Utd, https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
West Ham, https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
Leicester City, https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
Brighton, https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
Wolves, https://fbref.com/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
Newcastle Utd, https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
Crystal Palace, https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
Brentford, https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
Aston Villa, https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
Southampton, https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
Everton, https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
Leeds United, https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
Burnley, https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
Watford, https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
Norwich City, https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
Manchester City, https://fbref.com/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
Arsenal, https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
Manchester Utd, https://fbref.com/en/squads/19538871/2022-2023/Manchester-United-Stats
Newcastle Utd, https://fbref.com/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
Liverpool, https://fbref.com/en/squads/822bd0ba/2022-2023/Liverpool-Stats
Brighton, https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
Aston Villa, https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
Tottenham, https://fbref.com/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
Brentford, https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
Fulham, https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
Crystal Palace, https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
Chelsea, https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
Wolves, https://fbref.com/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
West Ham, https://fbref.com/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
Bournemouth, https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
Nottham Forest, https://fbref.com/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
Everton, https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
Leicester City, https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
Leeds United, https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
Southampton, https://fbref.com/en/squads/33c895d4/2022-2023/Southampton-Stats
